Round: 29| client: 5, class: 3
Round: 29| client: 6, class: 4
Round: 29| client: 7, class: 4
Round: 29| client: 8, class: 1
Round: 29| client: 4, class: 3
Round: 29| client: 3, class: 0
Round: 29| client: 1, class: 2
Round: 29| client: 2, class: 0
Round: 29| client: 0, class: 2
Correct: 150, Incorrect: 0
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 30| client: 9, class: 2
Round: 30| client: 5, class: 3
Round: 30| client: 6, class: 0
Round: 30| client: 7, class: 0
Round: 30| client: 8, class: 2
Round: 30| client: 4, class: 3
Round: 30| client: 3, class: 4
Round: 30| client: 1, class: 1
Round: 30| client: 2, class: 4
Round: 30| client: 0, class: 1
Correct: 155, Incorrect: 0
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 31| client: 9, class: 0
Round: 31| client: 5, class: 3
Round: 31| client: 6, class: 1
Round: 31| client: 7, class: 1
Round: 31| client: 8, class: 0
Round: 31| client: 4, class: 3
Round: 31| client: 3, class: 2
Round: 31| client: 1, class: 4
Round: 31| client: 2, class: 2
Round: 31| client: 0, class: 4
Correct: 160, Incorrect: 0
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 32| client: 9, class: 3
Round: 32| client: 5, class: 2
Round: 32| client: 6, class: 0
Round: 32| client: 7, class: 0
Round: 32| client: 8, class: 3
Round: 32| client: 4, class: 2
Round: 32| client: 3, class: 4
Round: 32| client: 1, class: 1
Round: 32| client: 2, class: 4
Round: 32| client: 0, class: 1
Correct: 165, Incorrect: 0
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 33| client: 9, class: 2
Round: 33| client: 5, class: 3
Round: 33| client: 6, class: 1
Round: 33| client: 7, class: 1
Round: 33| client: 8, class: 2
Round: 33| client: 4, class: 3
Round: 33| client: 3, class: 4
Round: 33| client: 1, class: 0
Round: 33| client: 2, class: 4
Round: 33| client: 0, class: 0
Correct: 170, Incorrect: 0
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 34| client: 9, class: 0
Round: 34| client: 5, class: 3
Round: 34| client: 6, class: 4
Round: 34| client: 7, class: 4
Round: 34| client: 8, class: 0
Round: 34| client: 4, class: 3
Round: 34| client: 3, class: 1
Round: 34| client: 1, class: 2
Round: 34| client: 2, class: 1
Round: 34| client: 0, class: 2
Correct: 175, Incorrect: 0
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 35| client: 9, class: 1
Round: 35| client: 5, class: 2
Round: 35| client: 6, class: 3
Round: 35| client: 7, class: 3
Round: 35| client: 8, class: 1
Round: 35| client: 4, class: 2
Round: 35| client: 3, class: 4
Round: 35| client: 1, class: 0
Round: 35| client: 2, class: 4
Round: 35| client: 0, class: 0
Correct: 180, Incorrect: 0
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 36| client: 9, class: 3
Round: 36| client: 5, class: 4
Round: 36| client: 6, class: 0
Round: 36| client: 7, class: 0
Round: 36| client: 8, class: 3
Round: 36| client: 4, class: 4
Round: 36| client: 3, class: 1
Round: 36| client: 1, class: 2
Round: 36| client: 2, class: 1
Round: 36| client: 0, class: 2
Correct: 185, Incorrect: 0
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 37| client: 9, class: 3
Round: 37| client: 5, class: 4
Round: 37| client: 6, class: 2
Round: 37| client: 7, class: 2
Round: 37| client: 8, class: 3
Round: 37| client: 4, class: 4
Round: 37| client: 3, class: 0
Round: 37| client: 1, class: 1
Round: 37| client: 2, class: 0
Round: 37| client: 0, class: 1
Correct: 190, Incorrect: 0
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 38| client: 9, class: 0
Round: 38| client: 5, class: 3
Round: 38| client: 6, class: 2
Round: 38| client: 7, class: 2
Round: 38| client: 8, class: 0
Round: 38| client: 4, class: 3
Round: 38| client: 3, class: 1
Round: 38| client: 1, class: 4
Round: 38| client: 2, class: 1
Round: 38| client: 0, class: 4
Correct: 195, Incorrect: 0
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 39| client: 9, class: 3
Round: 39| client: 5, class: 4
Round: 39| client: 6, class: 1
Round: 39| client: 7, class: 1
Round: 39| client: 8, class: 3
Round: 39| client: 4, class: 4
Round: 39| client: 3, class: 2
Round: 39| client: 1, class: 0
Round: 39| client: 2, class: 2
Round: 39| client: 0, class: 0
Correct: 200, Incorrect: 0
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 40| client: 9, class: 3
Round: 40| client: 5, class: 4
Round: 40| client: 6, class: 2
Round: 40| client: 7, class: 2
Round: 40| client: 8, class: 3
Round: 40| client: 4, class: 4
Round: 40| client: 3, class: 0
Round: 40| client: 1, class: 1
Round: 40| client: 2, class: 0
Round: 40| client: 0, class: 1
Correct: 205, Incorrect: 0
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 41| client: 9, class: 0
Round: 41| client: 5, class: 1
Round: 41| client: 6, class: 4
Round: 41| client: 7, class: 4
Round: 41| client: 8, class: 0
Round: 41| client: 4, class: 1
Round: 41| client: 3, class: 2
