Round: 31| client: 8, class: 0
Round: 31| client: 5, class: 2
Round: 31| client: 9, class: 0
Round: 31| client: 7, class: 2
Round: 31| client: 1, class: 2
Round: 31| client: 4, class: 4
Round: 31| client: 3, class: 2
Round: 31| client: 2, class: 3
Round: 31| client: 0, class: 2
Correct: 90, Incorrect: 70
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 32| client: 6, class: 2
Round: 32| client: 8, class: 0
Round: 32| client: 5, class: 3
Round: 32| client: 9, class: 0
Round: 32| client: 7, class: 2
Round: 32| client: 1, class: 2
Round: 32| client: 4, class: 2
Round: 32| client: 3, class: 1
Round: 32| client: 2, class: 2
Round: 32| client: 0, class: 4
Correct: 92, Incorrect: 73
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 33| client: 6, class: 3
Round: 33| client: 8, class: 4
Round: 33| client: 5, class: 2
Round: 33| client: 9, class: 0
Round: 33| client: 7, class: 0
Round: 33| client: 1, class: 1
Round: 33| client: 4, class: 0
Round: 33| client: 3, class: 0
Round: 33| client: 2, class: 0
Round: 33| client: 0, class: 0
Correct: 93, Incorrect: 77
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 34| client: 6, class: 0
Round: 34| client: 8, class: 3
Round: 34| client: 5, class: 0
Round: 34| client: 9, class: 3
Round: 34| client: 7, class: 0
Round: 34| client: 1, class: 2
Round: 34| client: 4, class: 0
Round: 34| client: 3, class: 4
Round: 34| client: 2, class: 1
Round: 34| client: 0, class: 0
Correct: 96, Incorrect: 79
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 35| client: 6, class: 2
Round: 35| client: 8, class: 0
Round: 35| client: 5, class: 0
Round: 35| client: 9, class: 0
Round: 35| client: 7, class: 2
Round: 35| client: 1, class: 1
Round: 35| client: 4, class: 4
Round: 35| client: 3, class: 0
Round: 35| client: 2, class: 0
Round: 35| client: 0, class: 3
Correct: 99, Incorrect: 81
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 36| client: 6, class: 4
Round: 36| client: 8, class: 1
Round: 36| client: 5, class: 1
Round: 36| client: 9, class: 0
Round: 36| client: 7, class: 1
Round: 36| client: 1, class: 1
Round: 36| client: 4, class: 1
Round: 36| client: 3, class: 1
Round: 36| client: 2, class: 3
Round: 36| client: 0, class: 2
Correct: 100, Incorrect: 85
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 37| client: 6, class: 4
Round: 37| client: 8, class: 1
Round: 37| client: 5, class: 1
Round: 37| client: 9, class: 1
Round: 37| client: 7, class: 0
Round: 37| client: 1, class: 1
Round: 37| client: 4, class: 1
Round: 37| client: 3, class: 3
Round: 37| client: 2, class: 1
Round: 37| client: 0, class: 2
Correct: 102, Incorrect: 88
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 38| client: 6, class: 2
Round: 38| client: 8, class: 1
Round: 38| client: 5, class: 3
Round: 38| client: 9, class: 0
Round: 38| client: 7, class: 0
Round: 38| client: 1, class: 0
Round: 38| client: 4, class: 0
Round: 38| client: 3, class: 4
Round: 38| client: 2, class: 0
Round: 38| client: 0, class: 0
Correct: 103, Incorrect: 92
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 39| client: 6, class: 1
Round: 39| client: 8, class: 2
Round: 39| client: 5, class: 4
Round: 39| client: 9, class: 2
Round: 39| client: 7, class: 2
Round: 39| client: 1, class: 2
Round: 39| client: 4, class: 2
Round: 39| client: 3, class: 0
Round: 39| client: 2, class: 3
Round: 39| client: 0, class: 2
Correct: 105, Incorrect: 95
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 40| client: 6, class: 3
Round: 40| client: 8, class: 2
Round: 40| client: 5, class: 4
Round: 40| client: 9, class: 2
Round: 40| client: 7, class: 1
Round: 40| client: 1, class: 3
Round: 40| client: 4, class: 4
Round: 40| client: 3, class: 3
Round: 40| client: 2, class: 0
Round: 40| client: 0, class: 3
Correct: 108, Incorrect: 97
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 41| client: 6, class: 2
Round: 41| client: 8, class: 2
Round: 41| client: 5, class: 2
Round: 41| client: 9, class: 0
Round: 41| client: 7, class: 2
Round: 41| client: 1, class: 1
Round: 41| client: 4, class: 4
Round: 41| client: 3, class: 2
Round: 41| client: 2, class: 3
Round: 41| client: 0, class: 2
Correct: 109, Incorrect: 101
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 42| client: 6, class: 3
Round: 42| client: 8, class: 0
Round: 42| client: 5, class: 1
Round: 42| client: 9, class: 4
Round: 42| client: 7, class: 0
Round: 42| client: 1, class: 2
Round: 42| client: 4, class: 0
Round: 42| client: 3, class: 0
